Player,Pos,Year,Ridge,RF,SVM,NeuralNet
Scottie Phillips,RB,2021,-18.96178652677116,-20.985333333333333,-5.935888946700476,-12.610299873352051
JuJu Smith-Schuster,WR,2018,103.10494925361527,114.54199999999996,103.55088133583344,118.08336486816407
Michael Preston,WR,2013,-21.410130744258662,-6.318000000000001,-9.395339252950835,-8.136584091186524
Amos Zereoue,RB,2004,11.223364028353672,15.89,18.39704710697258,24.71880950927735
C.J. Fiedorowicz,TE,2016,72.32289136796754,72.404,81.39720836426396,79.6667465209961
Tony Fisher,RB,2004,11.519141242761492,4.242000000000004,21.66838879017961,32.4420639038086
David Patten,WR,2008,-81.7280640697248,-72.62599999999998,-77.86021882407273,-71.71844177246093
Artose Pinner,RB,2006,-39.64869974521008,-14.776000000000003,-30.80562676415576,-21.996532440185547
Doug Martin,RB,2017,-13.106858168669504,-29.849999999999994,-6.453441083436786,4.108024597167969
Ruvell Martin,WR,2012,-24.70014493283731,-10.719999999999988,-11.382034138373726,-17.38970031738281
James Thrash,WR,2007,-14.260657100483757,-17.278000000000006,-2.012228179079841,-2.3122623443603487
Jonathan Baldwin,WR,2013,-50.352727298926695,-50.34200000000001,-40.581516592572754,-38.72970886230469
Tatum Bell,RB,2005,84.92876296872014,37.862,95.3883212632964,105.18540954589844
Quinn Johnson,RB,2011,-17.1686314650973,-12.293999999999995,-5.019110245076767,-12.167974472045898
Jesse Chatman,RB,2003,-18.731452246652918,-15.309999999999995,-5.977347573782163,-12.658407592773438
Josh Reed,WR,2003,22.31882428926521,32.56800000000001,30.11978208621882,39.470029449462885
Mike Thomas,WR,2021,-31.543481575049864,-40.190000000000005,-18.83118177295214,-19.917338180541993
Doug Baldwin,WR,2015,119.15745026645924,139.85,120.54768424006272,122.76512756347657
Joe Klopfenstein,TE,2008,-2.7098644746392644,-2.413999999999998,8.27225056428944,-4.735343170166015
Duke Johnson,RB,2020,-42.50589893994028,-44.95199999999993,-35.81374605813454,-27.042871093749994
