Player,Pos,Year,Y,Ridge,RF,SVM,NeuralNet
Elijah McGuire,RB,2018,76.4,69.33316961288293,62.23600000000001,59.62573173863988,52.40026
Bruce Miller,RB,2014,38.8,45.01270765961639,64.658,36.043882010759546,34.984623
Christian Fauria,TE,2002,80.8,38.14760565486991,27.58999999999999,27.40931811217744,27.890446
Danny Ware,RB,2010,17.5,32.402013643739785,59.24599999999999,19.57756753307321,22.388597
Ben Watson,TE,2016,104.7,116.44036223839244,112.248,113.99105617851713,113.08357
Willie Snead,WR,2017,11.2,130.4626563504209,108.13599999999995,127.54389299402231,115.7046
Derrick Blaylock,RB,2004,145.0,56.41995771649377,66.55000000000001,44.473462568597576,43.927116
Mike Bell,RB,2008,12.1,23.220848235619638,140.5960000000001,10.197464486906334,16.906141
Daniel Graham,TE,2004,93.4,74.15140296187,55.334,65.77981003719974,64.166176
Jermichael Finley,TE,2009,123.1,30.73411124687745,27.424,17.601404501251857,24.981607
Eddie Royal,WR,2011,35.8,99.02432392364588,106.97,92.11071281054193,86.37541
Terry Glenn,WR,2006,176.79999999999998,146.0985123923371,176.22799999999998,149.480545550252,137.36894
Adrian Peterson,RB,2010,257.9,25.723920442735995,14.006000000000002,12.993049573114604,17.45605
Adrian Arrington,WR,2011,4.1,113.98240608733563,130.34199999999998,107.08267256369362,87.04642
Jabar Gaffney,WR,2009,112.2,72.92714566999831,65.83599999999998,64.99761632232808,52.510227
Eric Moulds,WR,2003,116.0,176.66677752452208,168.8340000000001,177.77436242321704,161.1024
Mike Evans,WR,2021,225.5,145.3552003294446,138.67,147.0869832817118,142.80405
Fred Jackson,RB,2009,182.3,111.68680682156638,105.57599999999996,104.65127506852002,99.581665
Ryan Taylor,TE,2013,4.0,20.887174718122,13.312000000000006,7.944645498364949,16.182388
Deion Branch,WR,2012,22.5,101.43742152426044,88.85400000000001,97.82808160197834,99.79381
Jerricho Cotchery,WR,2005,31.0,28.92795381113767,39.008,15.855028710180711,21.097155
Bryan Gilmore,WR,2005,19.0,44.174360253086405,50.07599999999999,32.20438158608075,31.087725
Jordan Reed,TE,2015,198.7,90.53919200128246,100.77399999999996,82.22463331390857,60.692444
David Fluellen,RB,2018,1.6,21.89998223180899,30.71726666666666,9.014253965009644,14.402987
Donald Driver,WR,2004,213.2,91.86713521802834,94.12200000000004,87.6659702580994,81.16388
Mike Tolbert,RB,2016,29.6,67.78479011860195,63.82399999999997,57.620087718278825,52.931866
Domenik Hixon,WR,2009,26.200000000000003,88.18525797654002,87.73,82.4829947711774,72.60103
Marc Boerigter,WR,2004,15.9,38.66949125855404,61.31600000000001,26.13061676172485,27.196093
Charlie Garner,RB,2004,21.8,120.444924533767,97.97,114.7172108180411,105.908485
Jim Kleinsasser,TE,2006,8.2,30.889116533883964,41.236,22.225098599274368,23.212927
Josh Hill,TE,2014,54.6,25.677748367548418,24.414,13.170389431992348,17.968124
Ryan Grant,WR,2017,103.8,29.44252305791519,38.98600000000001,16.19495372538966,21.039679
Darren Fells,TE,2016,28.4,54.673861423612266,88.57,47.55433960081565,41.92016
Chris Ivory,RB,2012,36.2,52.52016824222748,46.58799999999999,42.84922034910022,32.65212
Dustin Lyman,TE,2004,18.8,34.773831598619665,28.727999999999994,22.41798197273019,22.949255
Keyshawn Johnson,WR,2001,181.6,124.84643187462343,133.86800000000002,122.94718909537283,120.7017
